Fragment Size,Count,Range,Group,BAM File
468,10,200-500,Normal,H7-plasma.bam
489,10,200-500,Normal,H7-plasma.bam
317,9,200-500,Normal,H7-plasma.bam
30,9,100-200,Normal,H7-plasma.bam
305,9,200-500,Normal,H7-plasma.bam
327,9,200-500,Normal,H7-plasma.bam
7970,9,>1000,Normal,H7-plasma.bam
303,9,200-500,Normal,H7-plasma.bam
335,9,200-500,Normal,H7-plasma.bam
322,9,200-500,Normal,H7-plasma.bam
33,9,100-200,Normal,H7-plasma.bam
294,9,200-500,Normal,H7-plasma.bam
113225,9,>1000,Normal,H7-plasma.bam
484,9,200-500,Normal,H7-plasma.bam
469,9,200-500,Normal,H7-plasma.bam
11801032,9,>1000,Normal,H7-plasma.bam
2306647,9,>1000,Normal,H7-plasma.bam
31383,9,>1000,Normal,H7-plasma.bam
506483,9,>1000,Normal,H7-plasma.bam
490280,9,>1000,Normal,H7-plasma.bam
3045198,8,>1000,Normal,H7-plasma.bam
485701,8,>1000,Normal,H7-plasma.bam
482,8,200-500,Normal,H7-plasma.bam
170125,8,>1000,Normal,H7-plasma.bam
15716689,8,>1000,Normal,H7-plasma.bam
2,8,100-200,Normal,H7-plasma.bam
13902,8,>1000,Normal,H7-plasma.bam
445,8,200-500,Normal,H7-plasma.bam
406548,8,>1000,Normal,H7-plasma.bam
20,8,100-200,Normal,H7-plasma.bam
493,8,200-500,Normal,H7-plasma.bam
9165,8,>1000,Normal,H7-plasma.bam
481,8,200-500,Normal,H7-plasma.bam
28,8,100-200,Normal,H7-plasma.bam
475,8,200-500,Normal,H7-plasma.bam
324143,8,>1000,Normal,H7-plasma.bam
268,8,200-500,Normal,H7-plasma.bam
328,8,200-500,Normal,H7-plasma.bam
473,8,200-500,Normal,H7-plasma.bam
496,8,200-500,Normal,H7-plasma.bam
11800863,8,>1000,Normal,H7-plasma.bam
4955235,8,>1000,Normal,H7-plasma.bam
11800853,8,>1000,Normal,H7-plasma.bam
11800901,8,>1000,Normal,H7-plasma.bam
7,8,100-200,Normal,H7-plasma.bam
11800913,8,>1000,Normal,H7-plasma.bam
209420,7,>1000,Normal,H7-plasma.bam
4963548,7,>1000,Normal,H7-plasma.bam
321,7,200-500,Normal,H7-plasma.bam
5,7,100-200,Normal,H7-plasma.bam
472,7,200-500,Normal,H7-plasma.bam
507,7,500-1000,Normal,H7-plasma.bam
490516,7,>1000,Normal,H7-plasma.bam
3092685,7,>1000,Normal,H7-plasma.bam
465,7,200-500,Normal,H7-plasma.bam
479,7,200-500,Normal,H7-plasma.bam
29,7,100-200,Normal,H7-plasma.bam
11800892,7,>1000,Normal,H7-plasma.bam
13924,7,>1000,Normal,H7-plasma.bam
11800904,7,>1000,Normal,H7-plasma.bam
282,7,200-500,Normal,H7-plasma.bam
487,7,200-500,Normal,H7-plasma.bam
11800899,7,>1000,Normal,H7-plasma.bam
3027,7,>1000,Normal,H7-plasma.bam
2306644,7,>1000,Normal,H7-plasma.bam
8519,7,>1000,Normal,H7-plasma.bam
13899,7,>1000,Normal,H7-plasma.bam
11800925,7,>1000,Normal,H7-plasma.bam
13914,7,>1000,Normal,H7-plasma.bam
2306645,7,>1000,Normal,H7-plasma.bam
45,7,100-200,Normal,H7-plasma.bam
3214,7,>1000,Normal,H7-plasma.bam
1074,7,>1000,Normal,H7-plasma.bam
474,7,200-500,Normal,H7-plasma.bam
495858,7,>1000,Normal,H7-plasma.bam
6,7,100-200,Normal,H7-plasma.bam
8,7,100-200,Normal,H7-plasma.bam
274,6,200-500,Normal,H7-plasma.bam
46293,6,>1000,Normal,H7-plasma.bam
442,6,200-500,Normal,H7-plasma.bam
209509,6,>1000,Normal,H7-plasma.bam
486,6,200-500,Normal,H7-plasma.bam
921,6,500-1000,Normal,H7-plasma.bam
498,6,200-500,Normal,H7-plasma.bam
4682,6,>1000,Normal,H7-plasma.bam
17,6,100-200,Normal,H7-plasma.bam
13909,6,>1000,Normal,H7-plasma.bam
492116,6,>1000,Normal,H7-plasma.bam
13915,6,>1000,Normal,H7-plasma.bam
492162,6,>1000,Normal,H7-plasma.bam
16,6,100-200,Normal,H7-plasma.bam
1972,6,>1000,Normal,H7-plasma.bam
436,6,200-500,Normal,H7-plasma.bam
506,6,500-1000,Normal,H7-plasma.bam
56851,6,>1000,Normal,H7-plasma.bam
324265,6,>1000,Normal,H7-plasma.bam
63465,6,>1000,Normal,H7-plasma.bam
14,6,100-200,Normal,H7-plasma.bam
14496,6,>1000,Normal,H7-plasma.bam
508,6,500-1000,Normal,H7-plasma.bam
287,6,200-500,Normal,H7-plasma.bam
504,6,500-1000,Normal,H7-plasma.bam
21516849,6,>1000,Normal,H7-plasma.bam
8326,6,>1000,Normal,H7-plasma.bam
478,6,200-500,Normal,H7-plasma.bam
113270,6,>1000,Normal,H7-plasma.bam
4081,6,>1000,Normal,H7-plasma.bam
464,6,200-500,Normal,H7-plasma.bam
23,6,100-200,Normal,H7-plasma.bam
302,6,200-500,Normal,H7-plasma.bam
315,6,200-500,Normal,H7-plasma.bam
978,6,500-1000,Normal,H7-plasma.bam
277,6,200-500,Normal,H7-plasma.bam
453,6,200-500,Normal,H7-plasma.bam
7767,6,>1000,Normal,H7-plasma.bam
11800924,6,>1000,Normal,H7-plasma.bam
161303,6,>1000,Normal,H7-plasma.bam
11800900,6,>1000,Normal,H7-plasma.bam
11800922,6,>1000,Normal,H7-plasma.bam
11800875,6,>1000,Normal,H7-plasma.bam
